concept_id,concept_name,status,concept_oid,last_update_date,last_update_note,concept_type,content_source,external_source_detail,concept_scope,value_set_search_notes,code,code_description,coding_system_id,coding_system_version
64,Heart Failure,reviewed,,2024-04-09,,condition,Tuva-developed,,"Included:
1. Heart failure, whether or not noted as ""congestive"", whether left-sided, right-sided, or biventricular, and regardless of other qualifiers.

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. ""Cor pulmonale"", which describes changes in structure OR function of the right side of the heart due to increased pressure in the pulmonary circulation, e.g. due to chronic lung disease.  While cor pulmonale may involve right-sided heart failure, not all cases of cor pulmonale involve heart failure per se; Some cases may involve structural, but not functional, changes in the right side of the heart.
2. Cardiogenic shock
3. Pulmonary edema, lower extremity edema, or other clinical findings that may be due to heart failure but have other causes as well.
4. Abnormalities of ejection fraction, cardiac wall motion, or other indicators of cardiac function without an indication of heart-failure-defining symptomatology","Candidate codes were identified for review based on ""contains"" searches for:
1. heart OR card OR ventric
2. fail OR insuff
3. pulmonal

And ICD-10-CM code ranges: I11*, I13*, I50*",84114007,Heart failure (disorder),1,http://snomed.info/sct/731000124108/version/20240301
65,Dyslipidemias,reviewed,,2024-04-09,,condition,Tuva-developed,,"Included:
1. Abnormalities in blood lipid levels that are associated with an increased risk of atherosclerotic disease.  These include including elevations in total blood cholesterol levels and undifferentiated ""hyperlipidemia"", as well as abnormal levels of specific types of blood lipidsm e.g. high levels of low-density lipoprotein (LDL) and low levels of high-density lipoprotein (HDL), and Tangier disease.

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Abnormalitis in blood lipid levels that are not associated with an increased risk of atherosclerotic disease, e.g. abnormally low levels of LDL due to abetalipoproteinemia, even though such conditions may be associated with clinical effects other than atherosclerotic disease.","Candidate codes were identified for review based on ""contains"" searches for:
1. lipid
2. cholest
3. lipoprot
4. hdl
5. ldl
6. glycerid
7. chylomicron
8. tangier

And ICD-10-CM code ranges: E78*",370992007,Dyslipidemia (disorder),1,http://snomed.info/sct/731000124108/version/20240301
66,Hypertension,reviewed,,2024-04-09,,condition,Tuva-developed,,"Included:
1. The intent of the scope is to include all assertions of arterial hypertension in the systemic (i.e. non-pulmonary) circulation.  The word ""hypertension"" simply means elevated pressure, and thus, ""arterial hypertension"" means elevated pressure in a patient's arteries.  ""Hypertension"" may refer elevated pressure in locations other than the arteries, e.g. the patient's veins (""venous hypertension"") or inside the cranial cavity (""intracranial hypertension"").  However, the use of the word ""hypertension"" with no other qualifier, by convention, refers to arterial hypertension, and will be taken as such.

Elevated arterial pressure becomes a significant threat to health when it occurs frequently or constantly over a sustained period of time, and in fact, the term ""hypertension"" implies a sustained effect rather than brief, isolated episodes of increased pressure.

2. Hypertension can occur in pregnancy, with either onset prior to the pregnancy (""chronic hypertension"") or during the pregnancy.  When it starts during the pregnancy, it may occur as a temporary phenomenon that resolves after the end of the pregnancy, or can persist after the end of the pregnancy.  The label ""gestational hypertension"" is often used to describe the latter condition.  Gestational hypertension, and other labels to describe hypertension occurring during pregnancy, will be included in this concept.


Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Mentions of elevated blood pressure without an assertion of ""hypertension"".
2. ""Hypertension"" with some specifier indicating it is not arterial hypertension (e.g. ""intracranial hypertension"").
3. Assertions of complications of arterial hypertension, e.g. hypertensive retinopathy or ""hypertensive chronic kidney disease"".  While such conditions, by definition, cannot occur in the absence of hypertension, it is possible for them to occur, and persist, in an individual whose hypertension resolved (e.g. as the result of changes in lifestyle).  If a use case calls for identifying any patient who may have had arterial hypertension at any time in the past, a concept ""complications of hypertension"" could be created.
4. Assertions of use of antihypertensive medications, since such medications can be used to treat other conditions.
5. Pulmonary hypertension, since this does not involve the systemic circulation.
6. ""Post-procedural"" hypertension.  This is an exception to the convention that ""hypertension"" implies sustained elevations in blood pressure over extended periods of time, as it refers to the time frame immediately following a health care procedure.","Candidate codes were identified for review based on ""contains"" searches for:
1. hyperten
2. (elev OR high) AND press
3. blood AND press",38341003,"Hypertensive disorder, systemic arterial (disorder)",1,http://snomed.info/sct/731000124108/version/20240301
67,"Lung cancer, primary or unspecified",reviewed,,2024-04-10,,condition,Tuva-developed,,"The intent of this concept is to capture primary cancers of the lung, i.e. those ariving from lung tissue itself, as opposed to cancers that metastasize to the lung from another primary origin (e.g. breast, colon, kidney, etc.).

Whether or not the bronchi should be considered part of the lung is somewhat debatable.  SNOMED CT's anatomical hierarchy places the bronchi in the hierarchy of the ""tracheobronchial tree"", which is a sibling to the lung.  However, since most lung cancers arise from the epithelium of the bronchi, and since the bronchi, particulary the fine branches thereof, are conventionally considered to be part of the lung, it seems reasonable to include them in this concept.  That said, cancer of the trachea is generally considered distinct from ""lung cancer"", so will not be included in this concept.

The scope below does not stipulate any specific histopathologic type; Thus, atypical malignancies that are nonetheless primary to the lung (e.g. malignant carcinoid tumor of the lung, or Kaposi's sarcoma of the lung) are in scope.

Included:
1. Malignant neoplasms stated as being primary to the lung and/or bronchus(i), whether located in the lung or elsewhere
2. Malignant neoplasms stated as being of the lung and/or bronchus(i), without specification as to whether they are primary or metastatic (e.g. ""lung cancer"").
3. Carcinoma in situ of lung and/or bronchus(i), since, while such conditions do not necessarily meet the standard histopathologic definition of malignant neoplasm, they can be expected to progress to malignancy in the absence of clinical intervention.
4. Personal history of any of the above.

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Malignant neoplasms of the trachea
2. Malignant neoplasms of the pleura
3. Benign neoplasms, or neoplasms of ""uncertain behavior"", of the lung and/or bronchus(i)","Candidate codes were identified for review based on ""contains"" searches for:
1. (lung OR pulm OR bronch OR hil) AND (cancer OR malignan OR carcinoma OR sarcoma OR tumo)

And ICD-10-CM code ranges: C34*, C46*, D02*, Z85.1*",93880001,Primary malignant neoplasm of lung (disorder),1,http://snomed.info/sct/731000124108/version/20240301
68,Systemic Lupus Erythematosus,reviewed,,2024-04-10,,condition,Tuva-developed,,"Included:
1. Any assertion of systemic lupus erythematosus (SLE).

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Any non-systemic form of lupus, e.g. discoid lupus erythematosus
2. Presence of ""lupus anticoagulant"" (LA), since LA can be present in individuals without SLE.","Candidate codes were identified for review based on ""contains"" searches for:
1. lupus

And ICD-10-CM code ranges: M32*",55464009,Systemic lupus erythematosus (disorder),1,http://snomed.info/sct/731000124108/version/20240301
69,Metabolic Syndrome,reviewed,,2024-04-10,,condition,Tuva-developed,,"General comment: ""Metabolic syndrome"" (sometimes also referred to as ""metabolic syndrome X"" or just ""syndrome X"") is a term of relatively new coinage, which has been applied to the co-occurrence of a constellation of some or all of a set of clinical findings (abdominal obesity, elevated blood glucose, dyslipidemias, and hypertension).  Some variation exists in the exact definition of this phenomenon, and uncertainty as its biological homogeneity and causes, which is reflected in some variation in terminology and classification.  For instance, some standardized terminologies (e.g. SNOMED CT) use the term ""insulin resistance syndrome"" as a synonym of ""metabolic syndrome"", where others (e.g. ICD-10-CM) consider the former to be a distinct diagnostic entity.  For that reason, a fairly stringent approach will be taken to defining this concept and its value sets.

Included:
1. Any assertion of ""metabolic syndrome"" or ""metabolic syndrome X""


Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Assertions of ""insulin resistance"" or ""insulin resistance syndrome"".
2. ""Obesity dyslipidemia syndrome""
3. ""Cardiometabolic syndrome""","Candidate codes were identified for review based on ""contains"" searches for:
1. metabolic AND syndrome",237602007,Metabolic syndrome X (disorder),1,http://snomed.info/sct/731000124108/version/20240301
70,Multiple Sclerosis,reviewed,,2024-04-10,,condition,Tuva-developed,,"Included: Multiple sclerosis, of any type","Candidate codes were identified for review based on ""contains"" searches for:
1. multiple AND sclero",24700007,Multiple sclerosis (disorder),1,http://snomed.info/sct/731000124108/version/20240301
71,Muscular Dystrophy,reviewed,,2024-04-10,,condition,Tuva-developed,,Included: Muscular dystrophy of any type,"Candidate codes were identified for review based on ""contains"" searches for:
1. musc AND dystroph
2. myoton AND dystroph
3. duchenne
4. becker
5. dreifuss
6. emery
7. fukuyama
8. limb AND girdle

And ICD-10-CM code ranges: G71*",73297009,Muscular dystrophy (disorder),1,http://snomed.info/sct/731000124108/version/20240301
72,Obesity,reviewed,,2024-04-10,,condition,Tuva-developed,,"Included:
1. Any assertion of ""obesity""
2. An assertion of a body mass index (BMI, equal to the ratio between the weight in kilograms and the square of the height in meters) of 30 or greater.  This corresponds to the generally-accepted, albeit imperfect, definition of ""obesity"".
3. An assertion of BMI 95th or greater percentile for age in a child.

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Assertions of ""overweight"", ""above ideal weight"", or other statements regarding weight that do not mention ""obesity"".","Candidate codes were identified for review based on ""contains"" searches for:
1. obes
2. weight
3. bmi
4. body mass

And ICD-10-CM code ranges: E66*, O99.21*, Z68*",414916001,Obesity (disorder),1,http://snomed.info/sct/731000124108/version/20240301
73,Obsessive-Compulsive Disorder,reviewed,,2024-04-10,,condition,Tuva-developed,,"Included: Obsessive-compulsive disorder (OCD) of any form.

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. References to isolated obsessions or compulsions
2. Assertions of ""obsessive-compulsive behavior""
3. Obsessive-compulsive personality disorder, which is a diagnostically distinct entity from OCD.
4. Hoarding disorder and excoriation disorder, which ICD-10-CM classifies under ""obsessive-compulsive disorder"", but are considered distinct diagnostic entites from OCD in DSM-5.","Candidate codes were identified for review based on ""contains"" searches for:
1. obsess
2. compul
3. ocd

And ICD-10-CM code ranges: F42*",191736004,Obsessive-compulsive disorder (disorder),1,http://snomed.info/sct/731000124108/version/20240301
74,Opioid Use Disorder,reviewed,,2024-04-10,,condition,Tuva-developed,,"1. Specifically asserted ""opioid use disorder""
2. Assertions of opioid ""abuse""
3. Assertions of opioid ""dependence""
4. Assertions of any of the above regarding any specific opioid or category of opioid, e.g. heroin, fentanyl, etc.

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. References to opioid use without further assertion of one of the included conditions listed above, even if one of the individual DSM-5 diagnostic criteria for opioid use disorder (e.g. ""withdrawal"") is specified.

Scope note: The term ""use disorder"" with regard to psychoactive substances has become widespread since its adoption in DSM-5 in 2013.  By design, the phrase is intended to subsume the disease concepts of ""abuse"" and ""dependence"" of a psychoactive substance.  Not all use of a psychoactive substance meets the diagnostic criteria for use disorder, so this value set may not identify all individuals who are known to their health care team to use cocaine.  In addition, the diagnosis of a ""use disorder"" does not definitively indicate current use of the substance, as the diagnosis (with the qualification of ""in remission"") applies to individuals who are abstinent, even on a long-term basis, after having previously met the criteria for the use disorder.","Candidate codes were identified for review based on ""contains"" searches for:
1. opioid
2. opiate
3. narcotic
4. heroin
5. codone
6. codeine
7. morphine
8. fentanyl
9. opium
10. methadone
11. tramadol

And ICD-10-CM code ranges: F11*",,,,
75,Parkinson's Disease,reviewed,,2024-04-11,,condition,Tuva-developed,,"General comment: Terminology around Parkinson's disease (PD) can be somewhat confusing.  The term ""Parkinsonism"" describes a set of medical conditions that share similar symptoms, including tremor, rigidity of the limbs, and slowness of movement (bradykinesia).  PD, the most common form of Parkinsonism, involves loss of brain cells in the substantia nigra.  Parkinsonism can also be caused by certain medications, abnormalities in blood flow to the brain, and other causes.  However, non-PD forms of Parkinsonism are clinically distinct (for instance, they generally do not respond to the same treatments), and will not be included in the scope of this concept.


Included:
1. Parkinson's disease

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. ""Parkinsonism"" or ""Parkinsonian"" conditions","Candidate codes were identified for review based on ""contains"" searches for:
1. parkinson
2. bradykines
3. bradykines
4. rigidity
5. tremor

And ICD-10-CM code ranges: G20*",49049000,Parkinson's disease (disorder),1,http://snomed.info/sct/731000124108/version/20240301
76,Personality Disorders,reviewed,,2024-04-11,,condition,Tuva-developed,,"Included:
1. Personality disorders of any type
2. ""Schizotypal disorder"".  DSM-5-TR recognizes a diagnostic entity of ""schizotypal personality disorder"", which is considered a personality disorder but also ""within the schizophrenia spectrum"".  DSM-5-TR notes that ICD-10 includes the diagnostic concept ""schizotypal disorder"" (a term not used in DSM-5-TR), and indicates that this label corresponds to the DSM-5-TR-recognized condition of ""schizotypal personality disorder"".

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Disorders of personality due to a known medical or physiological cause (e.g. brain injury)
2. Changes or disturbances in personality that are not classified as a personality disorder","Candidate codes were identified for review based on ""contains"" searches for:
1. personality

And ICD-10-CM code ranges: F60*",33449004,Personality disorder (disorder),1,http://snomed.info/sct/731000124108/version/20240301
77,Post-Traumatic Stress Disorder,reviewed,,2024-04-11,,condition,Tuva-developed,,"Included:
1. Any assertion of post-traumatic stress disorder (PTSD)

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Assertions regarding prior traumatic experience and ensuing stress without explicit assertion of PTSD, since the latter has very specific diagnostic criteria.","Candidate codes were identified for review based on ""contains"" searches for:
1. trauma AND post
2. trauma AND stress
2. ptsd

And ICD-10-CM code ranges: F43.1*",47505003,Posttraumatic stress disorder (disorder),1,http://snomed.info/sct/731000124108/version/20240301
78,Rheumatoid Arthritis,reviewed,,2024-04-11,,condition,Tuva-developed,,"Included:
1. Rheumatoid arthritis (RA), with the exception of ""juvenile rheumatoid arthritis"" (see below)
2. Extra-articular complications of RA, which are sometimes referred to only as ""rheumatoid <condition>"", e.g. ""rheumatoid bursitis""
3. Felty syndrome (a complication of RA)

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. ""Juvenile rheumatoid arthritis"".  This term has been supplanted with the term ""juvenile idiopathic arthritis"" due to evident clinical distinctiveness from RA, and is now considered to be a distinct disease entity from RA.
2. Rheumatoid nodules.  While these typically occur as a manifestation of RA, they can occur in individuals with other autoimmune diseases, or even in otherwise healthy individuals.
3. Palindromic rheumatism.  While some patients with this condition go on to develop RA, many do not.
4. Still's disease, including ""adult-onset Still's disease"", which is an inflammatory arthritis that is considered diagnostically distinct from RA.

Reference: Petty RE, Southwood TR, Manners P, et al. International League of Associations for Rheumatology classification of juvenile idiopathic arthritis: Second revision, Edmonton, 2001. J Rheumatol 2004; 31:390.","Candidate codes were identified for review based on ""contains"" searches for:
1. rheumatoid
2. felty

And ICD-10-CM code ranges: M05*, M06*",69896004,Rheumatoid arthritis (disorder),1,http://snomed.info/sct/731000124108/version/20240301
79,Schizophrenia,reviewed,,2024-04-12,,condition,Tuva-developed,,"Included:
1. Schizophrenia of any type

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Schizophreniform disorder, which is a condition that has similar symptomatology to schizophrenia but which has different diagnostic criteria regarding impact on functioning.
2. Schizotypal disorder, which is classified as a personality disorder in DSM-5-TR.
3. Schizoaffective disorder
","Candidate codes were identified for review based on ""contains"" searches for:
1. schizo

And ICD-10-CM code ranges: F20*",58214004,Schizophrenia (disorder),1,http://snomed.info/sct/731000124108/version/20240301
80,Stroke,reviewed,,2024-04-12,,condition,Tuva-developed,,"General comment: The intent of this concept is to capture ""stroke"" according to its conventional definition: death of brain tissue occurs as the direct result of inadequate blood flow to that tissue and/or intracranial hemorrhage (often referred to as ""ischemic stroke"" and ""hemorrhagic stroke"", respectively.  Stroke is generally considered distinct from ""transient ischemic attack"" (TIA), in which brain dysfunction occurs as a result of temporary inadequacy of blood flow to brain tissue, but adequate blood flow is restored before infarction (tissue death) occurs.

Included:
1. Cerebrovascular accident, cerebral infarction, or any condition identified as ""stroke"" (in a neurologic context)
2. Any indication of sequelae of #1 above.

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Assertions regarding National Institutes of Health Stroke Scale (NIHSS) score.  While this standardized scale is intended to be used only in patients with stroke, it cannot be guaranteed that it will only be documented in such patients; For instance, it might be documented in a patient with suspected stroke who is subsequently found not to have sustained a stroke.
2. ""Sunstroke"", which is a heat-related illness that does not constitute a ""stroke"" in the sense of a neurologic condition.","Candidate codes were identified for review based on ""contains"" searches for:
1. stroke
2. cerebrovascular accident
	3. CVA
	4. cerebr + infarct
	5. brain + infarct

And ICD-10-CM code ranges: I63*, I69*",230690007,Cerebrovascular accident (disorder),1,http://snomed.info/sct/731000124108/version/20240301
81,Tobacco Use,reviewed,,2024-04-16,,condition,Tuva-developed,,"Included:
1. Consumption of tobacco in any form, including smoking of cigarettes, cigars, pipe tobacco, etc., or chewing of tobacco.
2. References to ""smoking"", ""smoker"", etc. (e.g. ""every day smoker""), without any specification of the substance that is smoked, since by convention, that refers to smoking of tobacco.

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Assertions of ""dependence"" or ""use disorder"" of tobacco and/or nicotine, without explicit assertion of current use.
2. Prior use of tobacco
3. Secondhand explore to tobacco smoke
4. Use of inhaled nicotine preparations (""e-cigaretters"" or nicotine ""vaping""), since that involves distinct exposures from consumption of intact tobacco.
5. Smoking of substances other than tobacco.","Candidate codes were identified for review based on ""contains"" searches for:
1. tobacco
2. cigar
3. pipe
4. snuff
5. smok",110483000,Tobacco user (finding),1,http://snomed.info/sct/731000124108/version/20240301
82,Type 1 Diabetes Mellitus,reviewed,,2024-04-16,,condition,Tuva-developed,,"Included:
1. Diabetes mellitus type 1, of any severity level, whether or not complications are present

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Diabetes mellitus whose type is not specified
2. Non-type 1 varieties of diabetes mellitus, including type 2, steroid-induced, gestational diabetes, ""maturity onset diabetes of the young"", etc.
3. Abnormalities of blood glucose without an assertion of the presence of type 1 diabetes mellitus, e.g. ""prediabetes"", unspecified ""hyperglycemia"", etc.","Candidate codes were identified for review based on ""contains"" searches for:
1. diab
2. (glu OR gly) + type

And ICD-10-CM code ranges: E10*, E11*,O24*",46635009,Diabetes mellitus type 1 (disorder),1,http://snomed.info/sct/731000124108/version/20240301
83,Type 2 Diabetes Mellitus,reviewed,,2024-04-16,,condition,Tuva-developed,,"Included:
1. Diabetes mellitus type 2, of any severity level, whether or not complications are present

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Diabetes mellitus whose type is not specified
2. Non-type 2 varieties of diabetes mellitus, including type 1, steroid-induced, gestational diabetes, ""maturity onset diabetes of the young"", etc.
3. Abnormalities of blood glucose without an assertion of the presence of type 2 diabetes mellitus, e.g. ""prediabetes"", unspecified ""hyperglycemia"", etc.","Candidate codes were identified for review based on ""contains"" searches for:
1. diab
2. (glu OR gly) + type

And ICD-10-CM code ranges: E10*, E11*,O24*",44054006,Diabetes mellitus type 2 (disorder),1,http://snomed.info/sct/731000124108/version/20240301
84,Ulcerative colitis,reviewed,,2024-04-16,,condition,Tuva-developed,,"Included:
1. Ulcerative colitis (UC) affecting any part(s) of the colon

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Inflammatory polyps-While ICD-10-CM classifies these in a section titled ""ulcerative colitis"", inflammatory polyps may occur in response to causes other than UC (e.g. Crohn disease).
2. ""Left-sided colitis"" without stipulation that the condition is UC.  ICD-10-CM has a set of codes described as ""left-sided colitis"" in the ""ulcerative colitis"" section, but the ICD-10-CM index also advises use of this code when colitis involving the left side is diagnosed without being asserted as UC.","Candidate codes were identified for review based on ""contains"" searches for:
1. ulcer AND (col OR sigmoid OR rect OR proct)

And ICD-10-CM code ranges: K51*",64766004,Ulcerative colitis (disorder),1,http://snomed.info/sct/731000124108/version/20240301
85,Ifosfamide,reviewed,,2024-04-19,,therapy,Tuva-developed,,All drug preparations containing ifosfamide with a dosage form that implies systemic administration,,5657,ifosfamide,3,03042024
86,Glucagon-like peptide-1 (GLP-1) agonists,reviewed,,2024-04-20,,therapy,Tuva-developed,,All drug preparations containing a Glucagon-like peptide-1 (GLP-1) agonist.  This includes drugs that have dual agonist activity for GLP-1 and glucose-dependent insulinotropic polypeptide (GIP).,"albiglutide
beinaglutide
dulaglutide
exenatide
liraglutide
lixisenatide
semaglutide
tirzepatide",416171004,"Substance with glucagon-like peptide 1 receptor agonist mechanism of action (substance)
",1,http://snomed.info/sct/731000124108/version/20240301
87,"Ketamine, Systemic",reviewed,,2024-04-22,,therapy,Tuva-developed,,All drug preparations containing ketamine with a dosage form that implies systemic administration,ketamine,6130,ketamine,3,03042024
88,Abdominal Aortic Aneurysm,reviewed,,2024-04-23,,condition,Tuva-developed,,"Included:
1. Any indication of abdominal aortic aneurysm, including ""throacoabdominal"" aortic aneurysm, which generally refers to an aneurysm involving both the thoracic and abdominal segments of the aorta.

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:

1. Aneurysms of non-abdominal portions of the aorta, or unspecified ""aortic aneurysm"".
2. Aortic dissection or other aortic disorders or injuries","Candidate codes were identified for review based on ""contains"" searches for:
1. aort AND aneury

And ICD-10-CM code ranges: I71*",233985008,Abdominal aortic aneurysm (disorder),1,http://snomed.info/sct/731000124108/version/20240301
89,Abdominal Hernia,reviewed,,2024-04-23,,condition,Tuva-developed,,"Included:
1. Any abdominal hernia, whether acquired or congenital, including inguinal hernia, femoral hernia, ventral abdominal hernia, umbilical hernia, abdominal parastomal hernia, diaphragmatic hernia, and hiatal hernia.


Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Ovarian hernia
2. Urinary parastomal hernia, since this generally involves the pelvic rather than the abdominal cavity
3. Cerebral herniation","Candidate codes were identified for review based on ""contains"" searches for:
1. hern

And ICD-10-CM code ranges: K40* - K46*
",52515009,Hernia of abdominal cavity (disorder),1,http://snomed.info/sct/731000124108/version/20240301
90,Appendicitis,reviewed,,2024-04-23,,condition,Tuva-developed,,"Included:
1. Appendicitis, whether acute, chronic, or of unspecified chronicity.

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Any other condition of the appendix","Candidate codes were identified for review based on ""contains"" searches for:
1. append

And ICD-10-CM code ranges: K35* - K38*",74400008,Appendicitis (disorder),1,http://snomed.info/sct/731000124108/version/20240301
91,Benign Prostatic Hyperplasia,reviewed,,2024-04-23,,condition,Tuva-developed,,"Included:
1. Benign prostatic hyperplasia (BPH)
2. ""Benign prostatic hypertrophy""-While this is a clinical misnomer, and should hopefully not be found in standardized vocabularies, it is sometimes used to describe BPH and has no other potential meaning.","Candidate codes were identified for review based on ""contains"" searches for:
1. bph
2. prostat AND hyper
3. prostat AND larg

And ICD-10-CM code ranges: N40*",266569009,Benign prostatic hyperplasia (disorder),1,http://snomed.info/sct/731000124108/version/20240301
92,Cardiac Dysrhythmias,reviewed,,2024-04-23,,condition,Tuva-developed,,"Included:
1. All cardiac rhythm disorders, regardless of origin, including tachy- and brady-arrhythmias (sinus tachycardia and sinus bradycardia included), and all forms of heart block (whether or not heart rate is affected).
2. Sick sinus syndrome
3. Cardiac asystole
4. Cardiac arrest, or history of cardiac arrest
5. Any indication of the presence of a cardiac pacemaker

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Fetal heart rhythm abnormalities
2. Postural orthostatic tachycardia syndrome, since this is generally not considered to be a dysrhythmic disorder
3. Presence of an automated implantable cardiac defibrillator (since those may be used proactively in people with heart failure but no history of cardiac dysrhythmia)
4. Pre-excitation syndromes, since, while such conditions may predispose to cardiac arrhythmias, they do not in and of themselves constitute or necessarily indicate the presence of a cardiac arrhythmia.
5. Long QT interval or ""long QT syndrome"", for the same reason.","Candidate codes were identified for review based on ""contains"" searches for:
rhythm, tachy, brady, fibril, flutter, torsades, block, wenkebach, mobitz, sick AND sinus, pacemak, dyssynch, asystol, supraventric, prematur AND atrial, premature AND ventric, premature AND contract, junctional, sinus AND node, sino AND atrial, conduction, cardiovert, defib, wandering, multifocal, reentr, re-entr, idioventric, arrest

And ICD-10-CM code ranges: I44* - I49*",698247007,Cardiac arrhythmia (disorder),1,http://snomed.info/sct/731000124108/version/20240301
93,Cataract,reviewed,,2024-04-25,,condition,Tuva-developed,,"Included:
1. Cataract, of any type or cause, including Soemmering's ring and ""glaucomatous flecks"".


Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. History of cataract surgery, since that implies likely resolution of the cataract.
2. Corneal opacity","Candidate codes were identified for review based on ""contains"" searches for:
1. cataract
2. opaque
3. opacity
4. cloud

And ICD-10-CM code ranges: H25* - H26*",193570009,Cataract (disorder),1,http://snomed.info/sct/731000124108/version/20240301
94,Cerebral Palsy,reviewed,,2024-04-25,,condition,Tuva-developed,,"Included:
1. Cerebral palsy of any type",And ICD-10-CM code ranges: G80*,128188000,Cerebral palsy (disorder),1,http://snomed.info/sct/731000124108/version/20240301
95,Cervical Cancer,reviewed,,2024-04-25,,condition,Tuva-developed,,"Included:
1. Primary malignant neoplasm of the uterine cervix
2. Primary carcinoma in situ of the uterine cervix
3. Assertions of malignant neoplasm, or carcinoma in situ, of the uterine cervix, without assertions as to whether primary or secondary.
4. Cytologic evidence of malignancy on smear of the cervix
5. Personal history of any of the above

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Dysplasia or leukoplakia of the uterine cervix, including high-grade dysplasia
2. Neoplasms of uterine cervix (including in-situ neoplasms) that are not specified as malignant, including neoplasms of ""uncertain behavior"".
3. Abnormal cervical cytology findings other than malignancy, including high grade squamous intraepithelial lesion (HGSIL)
4. Evidence of human papillomavirus (HPV) on cervical testing, including ""high-risk"" HPV strains.","Candidate codes were identified for review based on ""contains"" searches for:
1. cerv

And ICD-10-CM code ranges: C53*, D06* ",,,,
96,Chronic Pancreatitis ,reviewed,,2024-04-25,,condition,Tuva-developed,,"1. Chronic pancreatitis
2. History of chronic pancreatitis

Not included-Any of the following without assertion of one of the conditions in the """"included"""" list above:
1. Pancreatitis not specified as chronic
2. Acute pancreatitis","Candidate codes were identified for review based on ""contains"" searches for:
1. pancreatit
2. pancrea AND inflamm
3. pancrea AND phlegmon

And ICD-10-CM code ranges: K86*",235494005,Chronic pancreatitis (disorder),1,http://snomed.info/sct/731000124108/version/20240301
97,Clostridioides difficile Enterocolitis,reviewed,,2024-04-25,,condition,Tuva-developed,,"Included:
1. Any form or manifestation of enterocolitis due to Clostridioides difficile (C. dif)

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Presence of C. dif without assertion of enterocolitis due to that organism
2. Non-enterocolitic clinical manifestations of C. dif
3. Assertions of ""antibiotic-associated"" diarrhea or enterocolitis","Candidate codes were identified for review based on ""contains"" searches for:
1. dificil
2. difficil
3. clostrid

And ICD-10-CM code ranges: A04*",1172958005,Intestinal infection caused by Clostridioides difficile (disorder),1,http://snomed.info/sct/731000124108/version/20240301
98,Diabetes mellitus,reviewed,,2024-04-26,,condition,Tuva-developed,,"Included:
1. Diabetes mellitus (DM) of any type, including type 1, type 2, gestational, drug-induced, etc., of any severity level, whether or not complications are present.
2. Any complication of DM.
3. History of DM of any type other than gestational DM, since in general, non-gestational DM is a chronic disorder; Gestational DM generally resolves with the end of pregnancy (or if not, gets labeled as non-gestational DM), though it does convey a higher risk of non-gestational DM later in life.
4. Any indication of therapeutic use of insulin (since there are, generally speaking, no other conditions for which insulin is used).

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Abnormalities of blood glucose without an assertion of the presence of type 1 DM, e.g. ""prediabetes"", unspecified ""hyperglycemia"", etc.
2. Use of unspecified ""antidiabetic drugs"", since those can be used for non-DM conditions (e.g. metformin for PCOS).
3. Personal history of gestational DM (seee above).","Candidate codes were identified for review based on ""contains"" searches for:
1. diabet
2. (glu OR gly) + type
3. insulin

And ICD-10-CM code ranges: E08*-E13*",73211009,Diabetes mellitus (disorder),1,http://snomed.info/sct/731000124108/version/20240301
